ID,POS,Gloss
23785,noun,"German botanist who is generally recognized as founding bacteriology when he recognized bacteria as plants",
23786,noun,"English botanical writer and publisher (1746-1799)",
23787,noun,"Dutch botanist who rediscovered Mendel's laws and developed the mutation theory of evolution (1848-1935)",
23788,noun,"United States botanist who specialized in North American flora and who was an early supporter of Darwin's theories of evolution (1810-1888)",
23789,noun,"French botanist who categorized plants into families and developed a system of plant classification (1748-1836)",
23790,noun,"Swedish botanist who proposed the modern system of biological nomenclature (1707-1778)",
23791,noun,"Augustinian monk and botanist whose experiments in breeding garden peas led to his eventual recognition as founder of the science of genetics (1822-1884)",
23792,noun,"English botanist who was one of the first to collect specimens of plants (1570-1638)",
23793,noun,"a dense growth of bushes",
23794,noun,"vegetation that has grown; ""a growth of trees""; ""the only growth was some salt grass""",
23795,noun,"dense vegetation consisting of stunted trees or bushes",
23796,noun,"a growth of similar plants (usually trees) in a particular area; ""they cut down a stand of trees""",
23797,noun,"a collection of shrubs growing together",
23798,noun,"the flowers or vegetables or fruits or herbs that are cultivated in a garden",
23799,noun,"tangled mass of prickly plants",
23800,noun,"low-growing plants planted in deep shade or on a steep slope where turf is difficult to grow",
23801,adjective,"(used of grass or vegetation) cut down with a hand implement or machine; ""the smell of newly mown hay""",
23802,adjective,"(used of grass or vegetation) not cut down with a hand implement or machine; ""uncut grass""; ""an unmown lawn""",
23803,adjective,"(of growing vegetation) having just emerged from the ground; ""the corn is sprouted""",
23804,adjective,"(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines""",
23805,noun,"the branch of botany that studies fungi and fungus-caused diseases",
23806,noun,"the branch of botany that studies and cultivates fruits",
23807,noun,"the study of fossil plants",
23808,noun,"the branch of botany that studies ferns",
23809,adjective,"facing or on the side toward the base",
23810,adjective,"of leaves or flowers; developing or opening in succession from base to apex",
23811,adjective,"of leaves or flowers; developing or opening in succession from apex to base",
23812,adjective,"of certain seeds (such as cotton) having a tuft or tufts of hair; ""comate (or comose) seeds""; ""a comal tuft""",
23813,adjective,"bearing or consisting of carpels",
23814,adjective,"especially of leaves; growing on a stem especially on the upper part of a stem; ""cauline leaves""",
23815,adjective,"(of plants) producing a well-developed stem above ground",
23816,adjective,"away from an axis, as in a flower cluster in which the oldest flowers are in the center, the youngest near the edge",
23817,adjective,"toward an axis, as in a sunflower; the oldest flowers are near the edge, the youngest in the center",
23818,adjective,"having a floral envelope or perianth consisting of a calyx and/or corolla",
23819,adjective,"having widely spreading paired branches; ""maples are brachiate""",
23820,adjective,"bearing a coma; crowned with an assemblage of branches or leaves or bracts; ""comate royal palms""; ""pineapples are comate""",
23821,adjective,"lasting three seasons or more; ""the common buttercup is a popular perennial plant""",
23822,adjective,"not continuing to grow indefinitely at the apex; ""determinate growth""",
23823,adjective,"having a usually flat-topped flower cluster in which the main and branch stems each end in a flower that opens before those below it or to its side",
23824,adjective,"having a capacity for continuing to grow at the apex; ""an indeterminate stem""",
23825,adjective,"having stalked flowers along an elongated stem that continue to open in succession from below as the stem continues to grow; ""lilies of the valley are racemose""",
23826,adjective,"spiraling upward from left to right; ""dextrorse vines""",
23827,adjective,"spiraling upward from right to left; ""sinistrorse vines""",
23828,adjective,"appearing or developing early; ""precocious flowers appear before the leaves as in some species of magnolias""",
23829,adjective,"characterized by or fit for fertilization by pollen from another flower of the same kind",
23830,adjective,"characterized by or fit for fertilization by a flower that is not closely related",
23831,adjective,"having clusters of erect branches (often appearing to form a single column)",
23832,adjective,"capable of fertilizing female organs",
23833,adjective,"having gynoecia, or pistils, the ovule-bearing organ of a seed plant",
23834,adjective,"having pistils and stamens in the same flower",
23835,adjective,"having pistils and stamens in separate flowers",
23836,adjective,"used of seeds or spores that are enclosed in a capsule",
23837,adjective,"of leaves etc; growing in pairs on either side of a stem; ""opposite leaves""",
23838,adjective,"(of some seeds) having a fleshy and usually brightly colored cover",
23839,adjective,"(often used as a combining form) having or resembling a leaf or having a specified kind or number of leaves; ""`foliate' is combined with the prefix `tri' to form the word `trifoliate'""",
23840,adjective,"(often used as a combining form) having leaflets (compound leaves) or a specified kind or number of leaflets; ""`foliolate' is combined with the prefix `bi' to form the word `bifoliolate'""",
23841,adjective,"resembling or consisting of a scape; having a bare leafless stalk growing directly from the ground; ""tulips are scapose flowers""; ""a scapose stalk""; ""a scapose column""; ""the scapose portion of a feather""",
23842,adjective,"having a latticelike structure pierced with holes or windows",
23843,adjective,"especially of plant parts; cylindrical and tapering",
23844,adjective,"of a cylindrical or ellipsoid body; swollen and constricted at intervals",
23845,adjective,"used of flowers having more than the usual number of petals in crowded or overlapping arrangements; ""double chrysanthemums have many rows of petals and are usually spherical or hemispherical""",
23846,adjective,"used of flowers having usually only one row or whorl of petals; ""single chrysanthemums resemble daisies and may have more than one row of petals""",
23847,adjective,"of leaves; appearing puckered as if blistered",
23848,adjective,"used especially of leaves or bracts; overlapping or layered as scales or shingles",
23849,adjective,"covered with tiny scales",
23850,adjective,"of leaves; ridged or wrinkled",
23851,adjective,"of the margin of a leaf shape; not broken up into teeth",
23852,adjective,"rolled longitudinally upon itself; ""a convolute petal""",
23853,adjective,"especially of petals or leaves in bud; having margins rolled inward",
23854,adjective,"divided into five parts; specifically, having each floral whorl consist of five (or a multiple of five) members; ""pentamerous flowers""",
23855,adjective,"divided into three lobes; ""trifid petals""",
