id,pos,gloss,persian_gloss,checked
51534,noun,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born 1912),اقتصاددان ایالات متحده به عنوان طرفدار پول گرایی و مخالفت او با مداخله دولت در اقتصاد (متولد 1912),1
51535,noun,Norwegian economist noted for his work in econometrics (1895-1973),اقتصاددان نروژی به خاطر کارش در اقتصاد سنجی (1973-1895),1
51533,noun,British economist (born in India) whose report on social insurance provided the basis for most of the social legislation on which the welfare state in the United Kingdom is based (1879-1963),اقتصاددان بریتانیایی (متولد هند) که گزارش وی در مورد بیمه های اجتماعی مبانی بسیاری از قوانین اجتماعی را که دولت رفاه در انگلستان بر اساس آن بنا نهاده شده فراهم کرده است (1879-1963),1
51536,noun,English economist (born in Austria) noted for work on the optimum allocation of resources (1899-1992),اقتصاددان انگلیسی (متولد اتریش) برای کار در زمینه تخصیص بهینه منابع (1899-1992) اشاره کرد,1
51539,noun,United States economist (born in the Netherlands) (1910-1985),اقتصاددان ایالات متحده (متولد هلند) (1910-1985),1
51537,noun,English economist and logician who contributed to the development of the theory of marginal utility (1835-1882),اقتصاددان و منطق دان انگلیسی که در توسعه تئوری سودمندی حاشیه ای (1835-1882) همکاری کرد,1
51541,noun,United States economist who proposed the Laffer curve (born in 1940),اقتصاددان ایالات متحده که منحنی لافر را پیشنهاد داد (متولد 1940),1
51538,noun,English economist who advocated the use of government monetary and fiscal policy to maintain full employment without inflation (1883-1946),اقتصاددان انگلیسی که طرفدار استفاده از سیاست های پولی و مالی دولت برای حفظ اشتغال کامل بدون تورم بود (1883-1946),1
51540,noun,United States economist (born in Russia) who developed a method for using a country's gross national product to estimate its economic growth (1901-1985),اقتصاددان ایالات متحده (متولد روسیه) که روشی را برای استفاده از تولید ناخالص ملی یک کشور برای تخمین رشد اقتصادی آن ایجاد کرد (1901-1985),1
51542,noun,Canadian economist best remembered for his humorous writings (1869-1944),اقتصاددان کانادایی که بیشتر بخاطر نوشته های طنزآمیزش به یادگار مانده است (1869-1944),1
51543,noun,United States economist (born in Russia) who devised an input-output method of economic analysis (1906-1999),اقتصاددان ایالات متحده (متولد روسیه) که یک روش ورودی و خروجی برای تحلیل اقتصادی (1909-1996) ابداع کرد,1
51544,noun,an English economist who argued that increases in population would outgrow increases in the means of subsistence (1766-1834),یک اقتصاددان انگلیسی که استدلال می کند افزایش جمعیت از طریق معیشت رشد می کند (1834-1766),1
51545,noun,founder of modern communism; wrote the Communist Manifesto with Engels in 1848; wrote Das Kapital in 1867 (1818-1883),بنیانگذار کمونیسم مدرندر سال 1848 مانیفست کمونیست را با انگلس نوشت.داس کاپیتال را در سال 1867 نوشت (1818-1883),1
51546,noun,English economist noted for his studies of international trade and finance (born in 1907),اقتصاددان انگلیسی برای مطالعات خود در زمینه تجارت و امور مالی بین الملل متولد شد (متولد 1907),1
51547,noun,English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873),فیلسوف و اقتصاددان انگلیسی به خاطر تعابیر خود از تجربه گرایی و سودگرایی (1803-1876) به یاد آورد,1
51548,noun,French economist who advocated a Common Market in Europe (1888-1979),اقتصاددان فرانسوی طرفدار بازار مشترک در اروپا (1888-1979),1
51549,noun,Swedish economist (1898-1987),اقتصاددان سوئدی (1898-1987),1
51552,noun,United States economist (born in Czechoslovakia) (1883-1950),اقتصاددان ایالات متحده (متولد چکسلواکی) (1883-1950),1
