id,pos,gloss,persian_gloss,checked
43605,noun,"having curves; ""he hated the sinuosity of mountain roads""","منحنی داشتن""او از صداقت جاده های کوهستانی متنفر بود""",1
43608,noun,a line on a graph representing data,یک خط روی نمودار نمایانگر داده ها,1
43606,noun,a curve or surface whose equation (in Cartesian coordinates) is of the second degree,منحنی یا سطحی که معادله آن (در مختصات دکارتی) درجه دوم است,1
43607,noun,a line generated by a point on one figure rolling around a second figure,یک خط تولید شده توسط یک نقطه روی یک شکل که در اطراف یک شکل دوم قرار دارد,1
43609,noun,a smooth curve fitted to the set of paired data in regression analysis; for linear regression the curve is a straight line,منحنی صاف متناسب با مجموعه داده های جفت شده در تحلیل رگرسیون.برای رگرسیون خطی منحنی یک خط مستقیم است,1
43611,noun,Eurasian pigeon with white patches on wings and neck,کبوتر اوراسیا با لکه های سفید روی بال و گردن,1
43612,noun,type genus of the Columbidae: typical pigeons,جنس نوع Columbidae: کبوترهای معمولی,1
43610,noun,a light leap by a horse in which both hind legs leave the ground before the forelegs come down,یک جهش سبک توسط اسبی که در آن هر دو پای عقب قبل از پایین آمدن بازوها ، زمین را ترک می کنند,1
43613,noun,wild and domesticated birds having a heavy body and short legs,پرندگان وحشی و اهلی دارای بدن سنگین و پاهای کوتاه,1
43616,noun,a mechanical device using confined air to absorb the shock of motion,یک وسیله مکانیکی با استفاده از هوای محدود شوک حرکت را جذب می کند,1
43614,noun,"a mechanical damper; absorbs energy of sudden impulses; ""the old car needed a new set of shocks""","دمپر مکانیکی؛انرژی تکانه های ناگهانی را جذب می کند.""ماشین قدیمی به مجموعه جدیدی از شوک نیاز داشت""",1
43618,noun,a cushion usually made of rubber or plastic that can be inflated,یک کوسن که معمولاً از لاستیک یا پلاستیک ساخته شده و قابل باد شدن است,1
43617,noun,a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.,یک کیسه نرم پر از هوا یا انبوهی از پر کردن مانند پر یا لاستیک کف و غیره,1
43615,noun,"a device that decreases the amplitude of electronic, mechanical, acoustical, or aerodynamic oscillations",دستگاهی که دامنه نوسانات الکترونیکی ، مکانیکی ، صوتی یا آیرودینامیکی را کاهش می دهد,1
43619,noun,a cushion on a throne for a prince in India,یک بالش روی تخت برای شاهزاده ای در هند,1
43622,noun,a cushion that makes a seat more comfortable,بالشتکی که صندلی را راحت تر می کند,1
43621,noun,a small stiff cushion into which pins are stuck ready for use,یک بالشتک کوچک سفت که سنجاق ها برای استفاده در آن گیر کرده اند,1
43623,noun,a small cushion that is used for decorative purposes,یک بالشتک کوچک که برای اهداف تزئینی استفاده می شود,1
43620,noun,a cushion attached to the top of the back of an automobile's seat to prevent whiplash,یک بالشتک متصل به قسمت پشتی صندلی اتومبیل برای جلوگیری از شلاق زدن,1
43624,noun,point formed by two intersecting arcs (as from the intrados of a Gothic arch),نقطه ای که توسط دو قوس متقاطع شکل گرفته است (همانطور که از intrados یک قوس گوتیک است),1
43625,noun,a thin triangular flap of a heart valve,فلپ نازک مثلثی دریچه قلب,1
43626,noun,a valve to control one-way flow of blood,دریچه ای برای کنترل جریان یک طرفه خون,1
43627,noun,a movable piece of tissue partly connected to the body,یک قطعه متحرک از بافت که تا حدی به بدن متصل است,1
43628,noun,small elevation on the grinding surface of a tooth,ارتفاع کوچک در سطح آسیاب دندان,1
